video_id,video_title,channel_title,channel_id,video_publish_date,view_count,comment_count,video_description,tags,category_id
Ml9v3wHLuWI,Will Smith Tries Online Dating,Will Smith,UCKuHFYu3smtrl2AwwMOXOlg,2018-03-29T18:10:37Z,38488641,35818,"Things get awkward when Will meets Sophia the Robot for an intimate conversation in the Cayman Islands. SUBSCRIBE: https://goo.gl/BUjQW8

Thanks to Hanson Robotics for providing Sophia! For more information, visit http://hansonrobotics.com.

WATCH MORE:
Most Recent Videos: https://goo.gl/pqjbrR
Best Of Will Smith: https://goo.gl/P3jjA3

FOLLOW WILL:
Instagram: https://goo.gl/8mBb1K
Facebook: https://goo.gl/yzifAY

Westbrook Studios | http://westbrookentertainment.com

Executive Producers: Will Smith, Miguel Melendez
Producers: Aaron Ferguson, Lukas Kaiser, Brad Simpson, Sadao Turner
Director: Luke Kelly-Clyne
Editors: Andrew Peyton, Brian Vannucci, Steven Yee
Writers: Turner Barrowman, Clayton English, JF Harris, Lukas Kaiser
Director of Photography: Ben Rutkowski
Camera Operator: Mike Rossetti
Sound Recordist: Peter Beer
1st AC: Tremayne Ebanks
PA: Nakai Coni","['comedy', 'entertainment', 'will smith', 'will', 'smith', 'smiths', 'willsmith', 'will smith youtube', 'youtube will smith', 'will smith channel', 'channel will smith', 'will youtube', 'youtube will', 'smith youtube', 'youtube smith', 'will smith vlogs', 'vlogs will smith', 'vlogs', 'vlog', 'will smith youtube channel', 'sophia the robot', 'robot', 'robots', 'irobot', 'artificial intelligence', 'ai', 'cyberdyne', 'skynet']",24
#NAME?,"You can soon buy a sex robot equipped with artificial intelligence for about $20,000",ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,2018-04-25T07:24:22Z,10471709,13392,"In her National Geographic series, ""America Inside Out,"" Katie Couric learned about the world's first sex robot, Harmony.","['America', 'Inside', 'Out', 'National', 'Geographic', 'series', 'Katie', 'Couric', 'sex', 'robot', 'Harmony', 'artificial', 'intelligence', 'doll', 'technology', 'abc', 'abcnews']",25
1y3XdwTa1cA,Two robots debate the future of humanity,RISE Conf,UCFuF18MyTt4UdhmwDC4d2lg,2018-04-17T13:15:56Z,7822303,30887,"Hanson Robotics Limited's Ben Goertzel, Sophia and Han at RISE 2017.

Now for something that’s never been done onstage before. While they may not be human, our next guests are ready to discuss the future of humanity, and how they see their types flourish over the coming years.

Want to be at #RISEConf next year? Get your ticket now: http://news.riseconf.com/YT_tickets","['Hanson Robotics Limited', 'Hanson Robotics', 'sophia the robot debate', 'sophia the robot 2018', 'sophia the robot emotions', 'sophia the robot singing', 'sophia the robot 2017', 'sophia the robot', 'sophia the robot ai', 'sophia the robot and creator', 'sophia the robot creator', 'sophia the robot citizen', 'sophia the robot inventor', 'sophia the robot in 2018', 'Ben Goertzel', 'rise conference', 'rise conference 2017', 'rise conference 2017 hong kong', 'rise conference asia']",28
Ra3fv8gl6NE,Joe Rogan - Elon Musk on Artificial Intelligence,JRE Clips,UCnxGkOGNMqQEUMvroOWps6Q,2018-09-07T05:32:52Z,7393894,20084,Taken from Joe Rogan Experience #1169: https://www.youtube.com/watch?v=ycPr5-27vSI,"['Joe Rogan', 'JRE', 'Joe Rogan Experience', 'JRE Clips', 'PowerfulJRE', 'Joe Rogan Fan Page', 'Joe Rogan Podcast', 'podcast', 'MMA', 'Joe Rogan MMA Show', 'UFC', 'comedy', 'comedian', 'stand up', 'funny', 'clip', 'favorite', 'best of', 'Elon Musk']",22
Pls_q2aQzHg,Artificial Intelligence: Mankind's Last Invention,Aperture,UCO5QSoES5yn2Dw7YixDYT5Q,2018-10-05T18:30:00Z,3718335,9951,"Artificial Intelligence: Mankind's Last Invention - Technological Singularity Explained
Part 2: https://www.youtube.com/watch?v=zuXNlTJb_FM
Follow me on Instagram!: https://www.instagram.com/mcewen/

Stay connected: 
Join the community Discord!: https://discord.gg/XjSEXMS
Instagram: https://www.instagram.com/theapertureyt/
Twitter: https://twitter.com/TheApertureYT
Facebook: https://www.facebook.com/ApertureYT/
Patreon: https://www.patreon.com/ApertureYT

Music:
Stellardrone
https://stellardrone.bandcamp.com/
https://soundcloud.com/stellardrone
https://www.facebook.com/stellardrone/

furino:
https://soundcloud.com/furino
https://www.instagram.com/DanielFurino/
https://twitter.com/DanielFurino

kudasai:
https://soundcloud.com/kudasaibeats
https://twitter.com/kudasaibeats

Footage courtesy of:
Dawal97: 
https://www.youtube.com/dawal97
https://www.instagram.com/dawal97/

LifeLive42:
https://www.youtube.com/user/LifeLive42

----------

📖 Some of my favorite books:

Pale Blue Dot: A Vision of the Human Future in Space by Carl Sagan
https://amzn.to/2T7YmAZ

A Universe from Nothing by Lawrence M. Krauss:
https://amzn.to/2GSCKlw

What If?: Serious Scientific Answers to Absurd Hypothetical Questions
https://amzn.to/2tHCsVM

A Brief History of Time by Stephen Hawking:
https://amzn.to/2T87GEE

The Grand Design by Stephen Hawking:
https://amzn.to/2EDJPUu

How to Win Friends & Influence People by Dale Carnegie:
https://amzn.to/2UeOiTg

Crushing It by Gary Vaynerchuk:
https://amzn.to/2H7NlIz

The Intelligent Investor by Benjamin Graham:
https://amzn.to/2UdSNgO","[""Artificial Intelligence: Mankind's Last Invention"", 'aperture', 'ai', 'artificial intelligence', 'technological singularity', 'aperture ai', 'singularity', 'aperture artificial intelligence', 'artificial intelligence robot', 'elon musk', 'google duplex', 'mankinds last invention', 'facial recognition', 'humanitys last invention', 'sam harris', 'alphago', 'alphago zero', 'openai', 'neuralink', 'joe rogan', 'joe rogan elon musk', 'machine learning', 'neural networks', 'superintelligent ai', 'superintelligent', 'joe rogan experience']",24
#NAME?,The Artificial Intelligence That Deleted A Century,Tom Scott,UCBa659QWEk1AI4Tg--mrJ2A,2018-12-06T16:00:00Z,1883817,6064,"In the last week of December, 2028, humanity forgot about more than a century of pop culture. You've probably never thought about it, and never found it strange — but the reason is an artificial intelligence called Earworm.

⏩ is a series of YouTube videos from a future.

WHY WE FORGOT THE 20TH CENTURY

WRITTEN and NARRATED BY: Tom Scott
ANIMATED BY: Jordan Husmann http://jordanhusmann.com


🟥 MORE FROM TOM: https://www.tomscott.com/
(you can find contact details and social links there too)

📰 WEEKLY NEWSLETTER with good stuff from the rest of the internet: https://www.tomscott.com/newsletter/
❓ LATERAL, free weekly podcast: https://lateralcast.com/ https://youtube.com/lateralcast/
➕ TOM SCOTT PLUS: https://youtube.com/tomscottplus
👥 THE TECHNICAL DIFFICULTIES: https://youtube.com/techdif",[],27
Ktg8E7i4nzw,"Internet Comment Etiquette: ""Artificial Intelligence""",Internet Comment Etiquette with Erik,UCyWDmyZRjrGHeKF-ofFsT5Q,2018-07-31T21:36:00Z,1615830,5779,"Start protecting yourself on the web at http://www.NordVPN.com/bigmoney or use code BIGMONEY and save 77%!

Nobbleberry Cast:
Corrupt Cop #1: Michael Tomasetti
Corrupt Cop #2: Jeff Harms
Detective Partner: Jarret Palmer
Young Chav: Yoni Reiss
Detective Nanny: Samantha Kellie https://twitter.com/SamanthaKellieS

""Big Money Salvia Theme"" by Hot Dad http://www.youtube.com/HotDad

Gentleman Erik Intro Pic by http://www.twitter.com/SentientPizzaB

http://www.neongrizzly.com/commentiquette
http://www.patreon.com/commentiquette
http://www.twitter.com/commentiquette
http://www.facebook.com/internetcommentetiquette","['internet comment etiquette', 'commentiquette', 'etiquette erik', 'horrible youtube comments', 'letsgotoclass', 'salvia erik', 'vpn', 'consumer vpn', 'net neutrality', 'site vpn', 'vpn best']",23
YNLC0wJSHxI,AI Codes its Own ‘AI Child’  - Artificial Intelligence breakthrough!,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,2018-01-16T07:50:52Z,1238178,4343,"Subscribe here: https://goo.gl/9FS8uF
Check out the previous episode:  https://www.youtube.com/watch?v=cDxi6ozDwhc

Become a Patron!: https://www.patreon.com/ColdFusion_TV
CF Bitcoin address: 13SjyCXPB9o3iN4LitYQ2wYKeqYTShPub8

In this video we talk about Auto ML by Google brain. Auto ML is one of the first successful automated AI projects.


Hi, welcome to ColdFusion (formerly known as ColdfusTion).
Experience the cutting edge of the world around us in a fun relaxed atmosphere.

Sources:

http://automl.info

http://www.ml4aad.org/automl/

https://futurism.com/google-artificial-intelligence-built-ai/

https://futurism.com/googles-new-ai-is-better-at-creating-ai-than-the-companys-engineers/

https://research.googleblog.com/2017/05/using-machine-learning-to-explore.html

https://www.youtube.com/watch?v=92-DoDjCdsY

http://research.nvidia.com/publication/2017-12_Unsupervised-Image-to-Image-Translation

//Soundtrack//

0:00 Tchami - After Life (Feat. Stacy Barthe)

0:40 Delectatio - Everything Is A Dream

1:45 Ricky Eat Acid - A Smoothie Robot For My Moon Mansion

3:37 Catching Flies - The Long Journey Home

4:40 Gryffin - Heading Home (feat. Josef Salvat)

5:18 Faux Tales - Weightless (feat. Luke Cusato)

» Google + | http://www.google.com/+coldfustion

» Facebook | https://www.facebook.com/ColdFusionTV

» My music | http://burnwater.bandcamp.com or 
» http://www.soundcloud.com/burnwater
» https://www.patreon.com/ColdFusion_TV
» Collection of music used in videos: https://www.youtube.com/watch?v=YOrJJKW31OA

Producer: Dagogo Altraide

» Twitter | @ColdFusion_TV","['Coldfusion', 'TV', 'Dagogo', 'Altraide', 'Technology', 'Apple', 'Google', 'Samsung', 'Facebook', 'Tesla']",2
gb4SshJ5WOY,2018 Isaac Asimov Memorial Debate: Artificial Intelligence,American Museum of Natural History,UCMkybZyI_B-xgkLQo_eCQ_w,2018-02-16T22:16:26Z,682346,1111,"Watch the 2020 Isaac Asimov Memorial Debate on Alien Life: https://youtu.be/xgESzc3hc2U

Isaac Asimov’s famous Three Laws of Robotics might be seen as early safeguards for our reliance on artificial intelligence, but as Alexa guides our homes and automated cars replace human drivers, are those Three Laws enough?

Neil deGrasse Tyson, Frederick P. Rose Director of the Hayden Planetarium, hosts and moderates a lively discussion about how A.I. is opening doors to limitless possibilities, and if we’re ready for them. The 2018 Isaac Asimov Memorial Debate took place at the Museum on February, 13, 2018.

For a full transcript of this debate, visit: https://www.amnh.org/explore/amnh.tv

Listen to a podcast version on our blog: https://www.amnh.org/explore/news-blogs/podcasts/2018-isaac-asimov-memorial-debate-artificial-intelligence

2018 Asimov Panelists:

John Giannandrea 
Senior Vice President of Engineering, Google

Helen Greiner
Co-Founder, iRobot; Founder, CyPhy Works 

Ruchir Puri
Chief Architect, IBM Watson 

Max Tegmark
Professor of Physics, Massachusetts Institute of Technology; President, Future of Life Institute 

Michael P. Wellman
Professor of Computer Science and Engineering, University of Michigan

For more information on upcoming events at the Museum, visit AMNH.org/calendar

The late Dr. Isaac Asimov, one of the most prolific and influential authors of our time, was a dear friend and supporter of the American Museum of Natural History. In his memory, the Hayden Planetarium is honored to host the annual Isaac Asimov Memorial Debate — generously endowed by relatives, friends, and admirers of Isaac Asimov and his work — bringing the finest minds in the world to the Museum each year to debate pressing questions on the frontier of scientific discovery. Proceeds from ticket sales of the Isaac Asimov Memorial Debates benefit the scientific and educational programs of the Hayden Planetarium.

2017 Isaac Asimov Memorial Debate: De-Extinction 
https://www.youtube.com/watch?v=_LnAtMeSVeY

2016 Isaac Asimov Memorial Debate: Is the Universe a Simulation? 
https://www.youtube.com/watch?v=wgSZA3NPpBs&index=2&t=25s&list=PLrfcruGtplwGKzxDI_Ne06NlpOKt-yonZ

2015 Isaac Asimov Memorial Debate: Water, Water 
https://www.youtube.com/watch?v=FSF79uS3t04&index=3&t=25s&list=PLrfcruGtplwGKzxDI_Ne06NlpOKt-yonZ

2014 Isaac Asimov Memorial Debate: Selling Space 
https://www.youtube.com/watch?v=GbmFeEIKBFI&index=4&t=25s&list=PLrfcruGtplwGKzxDI_Ne06NlpOKt-yonZ

2013 Isaac Asimov Memorial Debate: The Existence of Nothing 
https://www.youtube.com/watch?v=1OLz6uUuMp8&index=5&t=25s&list=PLrfcruGtplwGKzxDI_Ne06NlpOKt-yonZ

2012 Isaac Asimov Memorial Debate: Faster Than the Speed of Light 
https://www.youtube.com/watch?v=5qlLW60wOjo&list=PLrfcruGtplwGKzxDI_Ne06NlpOKt-yonZ&index=6

2011 Isaac Asimov Memorial Debate: The Theory of Everything 
https://www.youtube.com/watch?v=Eb8_3BUHcuw&list=PLrfcruGtplwGKzxDI_Ne06NlpOKt-yonZ&index=7

Rose Center Anniversary Isaac Asimov Debate: Is Earth Unique? 
https://www.youtube.com/watch?v=9Ji_GdAk9vU&index=8&list=PLrfcruGtplwGKzxDI_Ne06NlpOKt-yonZ&t=25s

Facebook: http://fb.com/naturalhistory
Twitter: http://twitter.com/amnh
Tumblr: http://amnhnyc.tumblr.com/

Instagram: http://instagram.com/amnh

#IsaacAsimov #NeildeGrasseTyson #AsimovDebate #MaxTegmark #Roomba #Robots #iRobot #ArtificialIntelligence #Robotics #Intelligence #AMNH #ScienceDebate #ScienceLecture #ThreeLawsofRobotics #AI #A.I. #AmericanMuseumofNaturalHistory 

*** 

Subscribe to our channel:
http://www.youtube.com/subscription_center?add_user=amnhorg 

Check out our full video catalog: http://www.youtube.com/user/AMNHorg 
Facebook: http://fb.com/naturalhistory 
Twitter: http://twitter.com/amnh 
Tumblr: http://amnhnyc.tumblr.com/ 
Instagram: http://instagram.com/amnh

This video and all media incorporated herein (including text, images, and audio) are the property of the American Museum of Natural History or its licensors, all rights reserved. The Museum has made this video available for your personal, educational use. You may not use this video, or any part of it, for commercial purposes, nor may you reproduce, distribute, publish, prepare derivative works from, or publically display it without the prior written consent of the Museum. 

© American Museum of Natural History, New York, NY","['Isaac Asimov', 'Neil deGrasse Tyson', 'Neil Tyson', 'Neil De Grass Tyson', 'Neil de grasse tyson', 'neil di grass tyson', 'neil digrasse tyson', 'Asimov Debate', 'Artificial Intelligence', 'AI', 'robots', 'robotics', 'mechanics', 'max tegmark', 'irobot', 'machine learning', 'amnh', 'american museum of natural history', 'alexa', 'google', 'IBM', 'Watson', 'computer science', 'three laws of robotics', 'science lecture', 'science debate', 'science talk', 'Alpha Go', 'Alpha Zero', 'Deep Learning', 'Deep Mind', 'Alexa']",28
6tBZA2rygcM,"Elon Musk - Artificial Intelligence, Neuralink & New Forms of Government on Mars",The Artificial Intelligence Channel,UC5g-f-g4EVRkqL8Xs888BLA,2018-03-12T05:36:10Z,583017,1649,"Elon Musk discussed his concerns about artificial intelligence and his hope for forming a symbiosis with AI through his Neuralink company at SXSW on March 11th, 2018. Musk also spoke about the prospects for complete renewable energy production, space-based internet and the new types of government that could appear on Mars.","['singularity', 'ai', 'artificial intelligence', 'deep learning', 'machine learning', 'deepmind', 'robots', 'robotics', 'self-driving cars', 'driverless cars', 'Elon Musk', 'Neuralink', 'SpaceX', 'Falcon Heavy', 'Mars', 'Tesla']",28
